Pais,Felicidad,GDP
Finland,7.821000099,2.71837E+11
Denmark,7.636199951,3.56085E+11
Iceland,7.557499886,21718075725
Switzerland,7.511600018,7.52248E+11
Netherlands,7.414899826,9.13865E+11
Luxembourg,7.403999805,73353132794
Sweden,7.384300232,5.41487E+11
Norway,7.365099907,3.62198E+11
Israel,7.363800049,4.07101E+11
New Zealand,7.199800014,2.11735E+11
Austria,7.163000107,4.33258E+11
Australia,7.162099838,1.32784E+12
Ireland,7.040800095,4.25889E+11
Germany,7.034100056,3.84641E+12
Canada,7.025100231,1.64542E+12
United States,6.976799965,2.08937E+13
United Kingdom,6.942500114,2.7569E+12
Czechia,6.919799805,2.45339E+11
Belgium,6.804999828,5.21677E+11
France,6.686699867,2.63032E+12
Bahrain,6.646900177,34723357447
Slovenia,6.630099773,53589609581
Costa Rica,6.581999779,62158002233
United Arab Emirates,6.576000214,3.58869E+11
Saudi Arabia,6.522799969,7.03368E+11
Singapore,6.480199814,3.45296E+11
Romania,6.477000237,2.49511E+11
Spain,6.476299763,1.28148E+12
Uruguay,6.473599911,53560755047
Italy,6.466700077,1.89257E+12
Kosovo,6.45510006,7716925356
Malta,6.446899891,14917038504
Lithuania,6.445600033,56546957475
Slovakia,6.390699863,1.05173E+11
Estonia,6.340799809,30650285472
Panama,6.309100151,53977037000
Brazil,6.29279995,1.44857E+12
Guatemala,6.262199879,77604632621
Kazakhstan,6.234099865,1.71082E+11
Cyprus,6.220900059,24692095945
Latvia,6.180399895,33645460617
Serbia,6.177999973,53335016425
Chile,6.171800137,2.52727E+11
Nicaragua,6.164599895,12586941393
Mexico,6.127600193,1.08712E+12
Croatia,6.125199795,57203783203
Poland,6.122799873,5.96624E+11
El Salvador,6.119999886,24638720000
Kuwait,6.106100082,1.0596E+11
Hungary,6.08589983,1.56743E+11
Mauritius,6.071100235,10926820603
Uzbekistan,6.062699795,59894305353
Japan,6.038899899,5.04011E+12
Honduras,6.022099972,23827840810
Portugal,6.016300201,2.28539E+11
Argentina,5.967000008,3.89591E+11
Greece,5.948200226,1.88835E+11
South Korea,5.935100079,1.6379E+12
Philippines,5.903600216,3.61751E+11
Thailand,5.891200066,4.99682E+11
Moldova,5.856800079,11859730544
Jamaica,5.849599838,13812425037
Kyrgyzstan,5.828499794,7780874537
Belarus,5.821499825,61489588895
Colombia,5.780600071,2.703E+11
Bosnia and Herzegovina,5.768000126,19955120005
Mongolia,5.760700226,13312981595
Dominican Republic,5.737199783,78844702329
Malaysia,5.711299896,3.37006E+11
Bolivia,5.600299835,36629843806
China,5.585299969,1.46877E+13
Paraguay,5.578299999,35432178068
Peru,5.559100151,2.01705E+11
Montenegro,5.546800137,4780722122
Ecuador,5.533299923,99291124000
Vietnam,5.485000134,3.43243E+11
Russia,5.458600044,1.48832E+12
Hong Kong,5.424799919,3.44881E+11
Armenia,5.398600101,12641209802
Tajikistan,5.377099991,8133996648
Nepal,5.37650013,33433670512
Bulgaria,5.370900154,69889347433
Libya,5.330200195,52320215472
Indonesia,5.239600182,1.05869E+12
Ivory Coast,5.234600067,61348579465
North Macedonia,5.198999882,12116981815
Albania,5.198800087,15131866271
South Africa,5.193900108,3.35442E+11
Azerbaijan,5.173399925,42693000000
Gambia,5.163599968,1830413000
Bangladesh,5.155499935,3.73902E+11
Laos,5.140299797,18981800705
Algeria,5.122300148,1.45009E+11
Liberia,5.121500015,3039982540
Ukraine,5.08409977,1.56618E+11
Congo,5.075200081,48716960860
Morocco,5.059899807,1.14725E+11
Mozambique,5.048299789,14028811072
Cameroon,5.047599792,40804449726
Senegal,5.04610014,24493157583
Niger,5.003499985,13741378450
Georgia,4.973199844,15842922533
Gabon,4.958300114,15316824039
Iraq,4.940899849,1.8437E+11
Guinea,4.890500069,14169626010
Iran,4.887899876,2.31548E+11
Ghana,4.872000217,70043199814
Turkey,4.74420023,7.19955E+11
Burkina Faso,4.670499802,17933606353
Cambodia,4.640299797,25872798012
Benin,4.62319994,15651545332
Comoros,4.60860014,1223876065
Uganda,4.602600098,37600368181
Nigeria,4.552000046,4.32294E+11
Kenya,4.543000221,1.00667E+11
Tunisia,4.515999794,42514151614
Pakistan,4.515799999,3.00306E+11
Mali,4.479000092,17465392779
Namibia,4.459400177,10562637376
Eswatini,4.396100044,3984840580
Myanmar,4.394199848,78930257227
Sri Lanka,4.362199783,80969683537
Madagascar,4.339099884,13225591804
Egypt,4.287700176,3.65253E+11
Chad,4.250800133,10715396135
Ethiopia,4.241499901,1.07658E+11
Yemen,4.196899891,18840511908
Mauritania,4.152599812,7915985514
Jordan,4.152100086,43697659296
Togo,4.112299919,7574636979
India,3.777100086,2.66769E+12
Zambia,3.759799957,18110631358
Malawi,3.750400066,12172128470
Tanzania,3.702399969,62409709111
Sierra Leone,3.573999882,4063289450
Lesotho,3.511800051,2250717718
Botswana,3.471100092,14930072799
Rwanda,3.268199921,10184345442
Zimbabwe,2.995100021,18051170799
Lebanon,2.955300093,25948915861
Afghanistan,2.403800011,20116137326
